Brand,OS_Platform,Resolution_Type,Inches,Launch_Year,Price,Review_Count,Rating
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Hisense,Google TV,Ultra HD (4K),55.0,2024,47999,48,4.2
TOSHIBA,Google TV,Ultra HD (4K),43.0,2022,24999,336,4.3
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
Samsung,Google TV,Ultra HD (4K),43.0,2022,55990,221,4.2
XIAOMI,FireTv OS,Ultra HD (4K),43.0,2025,24999,5753,4.3
Acer,Google TV,Ultra HD (4K),65.0,2024,89999,1,4.1
Acer,Google TV,Ultra HD (4K),50.0,2025,28999,189,4.0
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
Samsung,Android,HD Ready,32.0,2025,14090,7,3.9
LG,WebOS,HD Ready,32.0,2022,15990,517,4.4
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
TCL,Google TV,Ultra HD (4K),65.0,2025,53990,12,4.2
BESTON,Android,Full HD,40.0,2025,12499,48,4.1
Hisense,Google TV,Ultra HD (4K),43.0,2024,22999,1299,4.3
Daiwa,WebOS,Ultra HD (4K),43.0,2024,21599,356,4.2
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
TOSHIBA,Google TV,Ultra HD (4K),65.0,2023,57999,803,4.3
MOTOROLA,Google TV,Ultra HD (4K),50.0,2023,26999,732,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
Hisense,Google TV,Ultra HD (4K),55.0,2024,59999,11,4.1
Haier,Google TV,Ultra HD (4K),43.0,2025,34990,6,4.1
Sansui,Google TV,Full HD,43.0,2023,22990,244,4.2
Doodle,Android,HD Ready,43.0,2023,17000,12,3.9
